Anos;Natal;S_esc;Sup;Obit;Long;Med;PIB
1960;24.1;;;;;79.8;56.2
1961;24.4;;;;;;58.1
1962;24.5;;;;;;64.7
1963;23.5;;;;;;66.6
1964;24;;;;;;72.2
1965;23.4;;;;;86.9;84.4
1966;23.2;;;;;;90.7
1967;22.8;;;;;;102.3
1968;22.1;;;;;;111.1
1969;21.7;;;;;;120.2
1970;20.8;;;;67.1;94;136.9
1971;21;;;;66.8;;159.1
1972;20.2;;;;68.5;;188
1973;20;;;;67.6;;222.2
1974;19.6;;;;68.2;;259.3
1975;19.8;;;;68.4;122.1;289
1976;20;;;;69;;336
1977;19.1;;;;70.1;;427.3
1978;17.5;;;;70.5;;522.9
1979;16.6;;;;71;;657.8
1980;16.2;;;3810;71.1;197.9;845.7
1981;15.4;;;3472;71.7;;1007.3
1982;15.2;;;3345;72.5;;1210.7
1983;14.5;;;3049;72.4;;1539.6
1984;14.3;;;2758;72.6;;1883.4
1985;13;;;2582;72.9;245.7;2305.8
1986;12.6;;;2311;73.4;;2815.3
1987;12.3;;;2065;73.8;;3318
1988;12.2;;;1857;73.8;;3964.7
1989;11.8;;;1730;74.4;;4690.8
1990;11.7;;;1453;74.1;280.6;5644.5
1991;11.7;;;1418;74.1;284.4;6487.4
1992;11.5;;;1251;74.4;287.4;7299.1
1993;11.4;;;1163;74.6;288.7;7624.2
1994;10.9;;;1008;75;290.6;8244.1
1995;10.7;;;967;75.4;292.8;8879.6
1996;11;;;880;75.3;297.1;9375.2
1997;11.2;;;780;75.5;301;10122.8
1998;11.2;19.1;6.1;768;75.8;306;10959.8
1999;11.4;19;6.4;745;76;310.6;11705.4
2000;11.7;18;6.5;746;76.4;315.8;12479.7
2001;10.9;17.4;6.8;630;76.7;320.7;13102.3
2002;11;16.6;7;685;77;323.9;13681.3
2003;10.8;15.8;8.1;581;77.4;329.3;13966
2004;10.4;14.3;9.3;483;77.7;335.9;14522.2
2005;10.4;13.6;9.4;477;78.2;344.1;15095.5
2006;10;13;10;488;78.5;350.9;15800.8
2007;9.7;12.5;10.2;452;78.7;359.5;16644.6
2008;9.9;12;10.7;418;78.9;368.7;16963.4
2009;9.4;11;11.1;456;79.3;379.4;16598.4
2010;9.6;10.6;11.8;357;79.6;391.9;16987.5
2011;9.2;10.8;13.4;374;79.8;405.4;16679.6
2012;8.5;9.9;14.6;382;80;417.2;16005.5
2013;7.9;9.2;15.3;282;80.2;433.1;16303.7
2014;7.9;8.7;16.8;339;80.4;449.4;16638.1
2015;8.3;8.1;17.5;333;80.6;468.1;17350.1
2016;8.4;7.6;18.1;343;80.8;486.6;18061.2
2017;8.4;7;18.5;283;80.8;504.2;19023.4
2018;8.5;6.4;19.1;370;80.9;521.8;19952.1
2019;8.4;6;20;315;81.1;538.9;20840.9
2020;8.2;5.1;21.6;290;80.7;553.5;19404.2
2021;7.7;3.8;24.1;272;;566.8;20698.1
