Anos,Natal,S_esc,Sup,Obit,Long,Med,PIB
1960,3.18221184,,-0.510825624,,4.158883083,4.379523504,4.028916757
1961,3.194583132,,,,,,4.062165664
1962,3.198673118,,,,,,4.169761202
1963,3.157000421,,,,,,4.198704578
1964,3.17805383,,,,,,4.279440046
1965,3.152736022,,,,,4.464758032,4.435567402
1966,3.144152279,,,,,,4.507557357
1967,3.126760536,,,,,,4.627909673
1968,3.095577609,,,,,,4.710430697
1969,3.077312261,,,,,,4.789157022
1970,3.034952987,,,,4.206184044,4.543294782,4.919250732
1971,3.044522438,,,,4.201703081,,5.069532935
1972,3.005682604,,,,4.226833745,,5.236441963
1973,2.995732274,,,,4.213607983,,5.403577877
1974,2.975529566,,,,4.222444565,,5.557985693
1975,2.985681938,,,,4.225372825,4.804840381,5.666426688
1976,2.995732274,,,,4.234106505,,5.81711116
1977,2.949688335,,,,4.249922794,,6.057486343
1978,2.862200881,,,,4.25561271,,6.259390241
1979,2.809402695,,,,4.262679877,,6.488900934
1980,2.785011242,,,8.245384468,4.264087337,5.287761853,6.740164687
1981,2.734367509,,0.741937345,8.152486076,4.272490748,,6.915028763
1982,2.721295428,,,8.115221973,4.283586562,,7.098953984
1983,2.674148649,,,8.022568947,4.282206299,,7.339277921
1984,2.660259537,,,7.922261058,4.284964922,,7.540833933
1985,2.564949357,,,7.856319571,4.289088639,5.50411128,7.743182967
1986,2.533696814,,,7.74543561,4.295923936,,7.942824107
1987,2.509599262,,,7.632885505,4.301358732,,8.107117471
1988,2.501435952,,,7.526717561,4.301358732,,8.285185469
1989,2.468099531,,,7.455876687,4.309455942,,8.453358423
1990,2.459588842,,,7.281385664,4.305415532,5.636930168,8.638436899
1991,2.459588842,,1.280933845,7.257002707,4.305415532,5.650381698,8.777617113
1992,2.442347035,,,7.13169851,4.309455942,5.660874974,8.895506332
1993,2.433613355,,,7.058758153,4.312140507,5.665388087,8.939082678
1994,2.388762789,,,6.915723449,4.317488114,5.671947751,9.017253072
1995,2.370243741,,,6.874198495,4.322807275,5.679489782,9.09151179
1996,2.397895273,,,6.779921907,4.321480135,5.694068782,9.145823184
1997,2.415913778,,,6.65929392,4.324132656,5.707110265,9.222545584
1998,2.415913778,2.949688335,1.808288771,6.643789733,4.328098293,5.723585102,9.301989312
1999,2.433613355,2.944438979,1.85629799,6.613384218,4.33073334,5.738505911,9.367805553
2000,2.459588842,2.890371758,1.871802177,6.6147256,4.335982696,5.755109102,9.431858603
2001,2.388762789,2.856470206,1.916922612,6.445719819,4.339901708,5.770506107,9.480543066
2002,2.397895273,2.809402695,1.945910149,6.529418838,4.343805422,5.780434826,9.523785216
2003,2.379546134,2.76000994,2.091864062,6.364750757,4.348986781,5.796969189,9.544381083
2004,2.341805806,2.660259537,2.2300144,6.180016654,4.352855257,5.816813497,9.583433792
2005,2.341805806,2.610069793,2.240709689,6.167516491,4.359269648,5.840932313,9.622151965
2006,2.302585093,2.564949357,2.302585093,6.190315406,4.363098625,5.860501283,9.667815851
2007,2.272125886,2.525728644,2.32238772,6.11368218,4.365643155,5.884714177,9.719841118
2008,2.292534757,2.48490665,2.370243741,6.035481433,4.368181228,5.909983305,9.738813361
2009,2.240709689,2.397895273,2.406945108,6.12249281,4.373238129,5.938591058,9.717061584
2010,2.261763098,2.360854001,2.468099531,5.877735782,4.377014093,5.971006705,9.740233058
2011,2.219203484,2.379546134,2.595254707,5.924255797,4.379523504,6.004874234,9.721941695
2012,2.140066163,2.292534757,2.681021529,5.945420609,4.382026635,6.033565723,9.680687692
2013,2.066862759,2.219203484,2.727852828,5.641907071,4.384523515,6.070968648,9.699147355
2014,2.066862759,2.163323026,2.821378886,5.826000107,4.387014176,6.10791336,9.719450525
2015,2.116255515,2.091864062,2.862200881,5.80814249,4.38949865,6.148681948,9.761353549
2016,2.128231706,2.028148247,2.895911938,5.837730447,4.391976966,6.18744243,9.80152127
2017,2.128231706,1.945910149,2.917770732,5.645446898,4.391976966,6.222973015,9.853425079
2018,2.140066163,1.85629799,2.949688335,5.913503006,4.393213824,6.257284373,9.90108968
2019,2.128231706,1.791759469,2.995732274,5.752572639,4.395682961,6.289530025,9.944672681
2020,2.104134154,1.62924054,3.072693315,5.669880923,4.390738575,6.316261752,9.873244816
2021,2.041220329,1.335001067,3.18221184,5.605802066,#NUM!,6.340006508,9.937797188
